Date Snapshot,Rolling Sharpe Ratio
2023-06-21,0.6830607095795838
2023-06-22,0.8687131175670797
2023-06-23,1.1874413105394255
2023-06-26,1.0022577457350124
2023-06-27,1.3444285966573766
2023-06-28,1.177017758996209
2023-06-29,1.3074532536987986
2023-06-30,0.8927684220638021
2023-07-03,1.0673670446362102
2023-07-04,1.0026635354582292
2023-07-05,0.996752900258019
2023-07-06,0.9925842326423319
2023-07-07,1.0795239320472763
2023-07-10,0.8052344115694048
2023-07-11,0.626916489321235
2023-07-12,0.47140135230456776
2023-07-13,0.5781534932222548
2023-07-14,0.6790461969920426
2023-07-17,0.6250568185871298
2023-07-18,0.6737094132071847
2023-07-19,0.6060072883903905
2023-07-20,0.3728739635589625
2023-07-21,0.22640177462195862
2023-07-24,0.4277048474280036
2023-07-25,0.4127632962366953
2023-07-26,0.5621214989685968
2023-07-27,0.27644956909571794
2023-07-28,0.04770426297684825
2023-07-31,-0.14121170240579906
2023-08-01,-0.1712268272416583
2023-08-02,-0.04560344149468796
2023-08-03,0.08002169540335911
2023-08-04,-0.21391108924052307
2023-08-07,-0.5316069921805419
2023-08-08,-0.5666302300863179
2023-08-09,-0.3981256758407617
2023-08-10,-0.3553264370500238
2023-08-11,-0.06522552496965517
2023-08-14,0.03131282378896657
2023-08-15,0.19057328975915241
2023-08-16,0.3089388349146365
2023-08-17,0.08281045514624913
2023-08-18,0.19761048565409015
2023-08-21,0.1354643940120734
2023-08-22,-0.0019808499245075523
2023-08-23,-0.025866564031180726
2023-08-24,-0.31426735345441265
2023-08-25,-0.2046528202272276
2023-08-28,-0.26827393349357403
2023-08-29,0.04866338062022658
2023-08-30,0.3853360907851352
2023-08-31,0.5133625582065436
2023-09-01,0.631496820750732
2023-09-04,0.7797473075218391
2023-09-05,0.7879155208544502
2023-09-06,0.7020916389472999
2023-09-07,0.6718651771624223
2023-09-08,0.8196369307906612
2023-09-11,0.7781709938404929
2023-09-12,0.694504144313791
2023-09-13,0.5826093583597721
2023-09-14,0.7736601262771119
2023-09-15,0.7440143094410048
2023-09-18,0.5902692207292703
2023-09-19,0.4651231086880447
2023-09-20,0.3819050127368926
2023-09-21,0.9744370604789948
2023-09-22,0.46115705634932874
2023-09-25,0.638420236478916
2023-09-26,0.948048596089847
2023-09-27,0.8376894937455162
2023-09-28,0.9371254653199965
2023-09-29,1.0532448787724262
2023-10-02,0.9645084051893102
2023-10-03,1.0002839662275467
2023-10-04,0.9972115802996081
2023-10-05,1.119416103885259
2023-10-06,1.1043080196506294
2023-10-09,0.886594503655419
2023-10-10,0.6776467751209941
2023-10-11,0.8547984020358321
2023-10-12,0.9591169432721062
2023-10-13,0.9299220055551284
2023-10-16,1.0806645441862774
2023-10-17,0.6570463622080673
2023-10-18,0.9176118388232982
2023-10-19,0.8693905960514141
2023-10-20,0.8715733081612137
2023-10-23,0.7369834500822678
2023-10-24,0.8645245234907106
2023-10-25,0.684622769702931
2023-10-26,0.39723751660300377
2023-10-27,0.5053355578751153
2023-10-30,0.7344933452764608
2023-10-31,0.8192876642233449
2023-11-01,0.3997601951153216
2023-11-02,0.12159859674452388
2023-11-03,0.06958126546512589
2023-11-06,-0.03288569278540393
2023-11-07,-0.2523366394626097
2023-11-08,-0.20609174908337866
2023-11-09,-0.5263696631131832
2023-11-10,-0.14328008076506643
2023-11-13,-0.2001983419634927
2023-11-14,-0.051537414525154306
2023-11-15,-0.33047789919022014
2023-11-16,-0.35417402235766204
2023-11-17,-0.2329906459577992
2023-11-20,0.04865962956192181
2023-11-21,0.06352564133338813
2023-11-22,-0.02618542318649668
2023-11-23,0.06543767000877947
2023-11-24,0.5191449717500072
2023-11-27,0.41895702539889196
2023-11-28,0.29557561174661284
2023-11-29,0.677215965222187
2023-11-30,0.8034768562580469
2023-12-01,0.8788915995342467
2023-12-04,0.9625228453380745
2023-12-05,1.0221116560016517
2023-12-06,0.8977596597938751
2023-12-07,0.9649623213790816
2023-12-08,1.010094402699611
2023-12-11,0.9408370019177951
2023-12-12,0.980034920806974
2023-12-13,1.1947301815000237
2023-12-14,0.9756665840659968
2023-12-15,0.8007171418806643
2023-12-18,0.5326309412798285
2023-12-19,0.4658038151552129
2023-12-20,0.44702990312823737
2023-12-21,0.5530131890486446
2023-12-22,0.39409930982298164
2023-12-25,0.44333047699455447
2023-12-26,0.6348444281426231
2023-12-27,0.8350539307435708
2023-12-28,0.9229042440280311
2023-12-29,0.6176141693657977
2024-01-01,0.7044154625297817
2024-01-02,0.6536394302510049
2024-01-03,0.6955271194847255
2024-01-04,0.5456561581237519
2024-01-05,0.3826625202014206
2024-01-08,0.33488493506319705
2024-01-09,0.3200163242442516
2024-01-10,0.5060028337392701
2024-01-11,0.4145656032401494
2024-01-12,0.587499543743329
2024-01-15,0.6587307434996381
2024-01-16,0.6697698432404953
2024-01-17,0.9232920099327158
2024-01-18,0.949955921211649
2024-01-19,1.1082108714797285
2024-01-22,1.0460692522378188
2024-01-23,1.4140011113102533
2024-01-24,1.5612133072691614
2024-01-25,1.441735799223628
2024-01-26,1.5629474438656907
2024-01-29,1.7696230884984148
2024-01-30,1.7004893806977524
2024-01-31,1.7031819208523609
2024-02-01,1.5737225180347079
2024-02-02,1.4982423774719984
2024-02-05,1.5203260222081838
2024-02-06,1.4669860943411477
2024-02-07,1.3228286522851855
2024-02-08,1.1920251770105683
2024-02-09,1.2628987473869633
2024-02-12,1.1005752677625031
2024-02-13,1.1431428221924094
2024-02-14,0.8465867276492353
2024-02-15,0.8372138014853787
2024-02-16,1.0253070382236238
2024-02-19,1.123753452658929
2024-02-20,1.032835107429811
2024-02-21,0.9097968584656898
2024-02-22,0.5415320993304846
2024-02-23,0.6478768727235855
2024-02-26,0.5566753938406679
2024-02-27,0.7554004639820547
2024-02-28,0.8388415370265737
2024-02-29,0.8196365128305633
2024-03-01,0.8694482002192726
2024-03-04,0.9999645079351784
2024-03-05,0.957641813282422
2024-03-06,0.7331840394044405
2024-03-07,0.834877284332265
2024-03-08,0.7547789267977931
2024-03-11,0.8305191770065797
2024-03-12,0.7846045306581514
2024-03-13,0.9207851535925512
2024-03-14,1.0809677491029197
2024-03-15,0.9113992628150498
2024-03-18,0.934378727687885
2024-03-19,0.7443380022609024
2024-03-20,0.7725718279327228
2024-03-21,0.9246251714476605
2024-03-22,0.9155270908546572
2024-03-25,0.961906860079782
2024-03-26,1.1418428393879834
2024-03-27,0.9165676931831331
2024-03-28,0.956986920260751
2024-03-29,0.7581789681500881
2024-04-01,0.490763948762755
2024-04-02,0.2243357098035513
2024-04-03,0.5694967413809233
2024-04-04,0.4311570142924941
2024-04-05,0.3649181771837937
2024-04-08,0.37443793002154896
2024-04-09,0.3472797140090878
2024-04-10,0.5739548702647714
2024-04-11,0.38929874325631014
2024-04-12,0.3078870044912536
2024-04-15,0.4806753853295771
2024-04-16,0.39136615001437064
2024-04-17,0.5085959248455348
2024-04-18,0.6763638947150816
2024-04-19,0.6927796001143096
2024-04-22,0.9967783253349165
2024-04-23,0.9194334480771658
2024-04-24,0.9169526312792916
2024-04-25,1.0797347817524447
2024-04-26,1.4856148017489619
2024-04-29,1.3993598249831931
2024-04-30,1.6062437455812566
2024-05-01,1.6348705933043703
2024-05-02,1.5953627153929755
2024-05-03,1.9647328910417945
2024-05-06,1.8394739956132258
2024-05-07,1.8089802962700106
2024-05-08,1.7918892722507076
2024-05-09,1.914960115785863
2024-05-10,1.902022974289662
2024-05-13,1.7461752041594203
